,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210
04000104256256,-3.32664282536422,-3.35653476071538,-3.41822070402201,-3.2877647875032903,-4.32777524987759,-5.20258190520609,-7.02494643836354,-7.2500637520398294,-5.414158217273231,-4.69431627876258,-4.45152587490685,-3.8297370283746703,-2.93299793329827,-3.3459666615253596,-3.68516512963018,-3.6553533902825697,-4.33879547519882,-6.6845345404939005,-7.380903682200871,-7.284598777835099,-5.35399828419499,-4.731908736318401,-4.038115936907,-3.43058828532207,-3.41999783637797,-3.0474435949990295,-3.0616617661244603,-3.68853307905118,-4.11207047353463,-4.90106874878587,-7.284598777835099,-6.930220384527769,-5.26669439655328,-4.49434490328955,-4.038115936907,-3.27012633657794,-3.4161631793165803,-3.6648733202454595,-3.57476994300507,-4.077053223107,-4.56557070626572,-5.20258190520609,-7.34993645737097,-8.0191375025643,-4.92511537410878,-4.807183680632701,-4.41566964077484,-4.07440970177468,-3.70812205349351,-3.2395172915945296,-3.3198697552621,-4.131446443953569,-4.99147279892248,-7.380903682200871,-8.0191375025643,-6.32065050688735,-7.31786083161824,-7.380903682200871,-7.34993645737097,-3.43141417456609,-3.1159110088781,-3.36396701440641,-3.7937373503834997,-4.27946564626527,-6.00555411017138,-6.38191022905686,-7.92775049768278,-5.75484342462467,-4.90850530419006,-4.66054289914627
04000106244417,-2.83542894478724,-2.84798259634902,-2.8753878206610204,-2.95921941233241,-3.78775863587313,-4.7992496728308796,-8.04744484879349,-6.861245118700171,-5.1925954894785304,-4.6231225165205805,-3.92055457191475,-3.0948741252498597,-2.88450218572428,-2.75664276751865,-3.14675279131242,-3.1357119449057995,-3.64699647745555,-5.69099912589813,-8.0191375025643,-6.8963701426994,-5.2972531083685395,-4.49434490328955,-4.21293811304335,-3.2560455256532204,-3.25237046953011,-2.7970294683245,-2.8570064993721003,-3.4602860307817,-4.21293811304335,-5.58949906284513,-6.617419013319269,-7.959364566033161,-5.32345200691149,-4.35368060670477,-4.21293811304335,-3.10814600451594,-3.04876799384202,-2.82329594850702,-2.9117323672022795,-3.3659149821442504,-3.5982705578270697,-4.66165049315996,-6.46703362857975,-7.380903682200871,-4.882757575014139,-4.69431627876258,-4.0193223511476495,-3.6573810827686604,-3.4092501227482903,-3.24816754928067,-3.2932271054827402,-3.8591025688127405,-4.831897162321719,-8.0191375025643,-7.380903682200871,-7.380903682200871,-7.959364566033161,-7.380903682200871,-7.34993645737097,-3.3494866537529804,-2.7130759542265,-2.9173193968746,-3.27815104472178,-3.5982705578270697,-5.20258190520609,-5.8794343148986306,-7.92775049768278,-5.51606356811883,-4.60228227343089,-4.325133292041279
04000106765478,-2.7606709192637098,-2.7933564600867005,-2.8874285998942297,-2.90576604978366,-3.9491275669263,-4.05428532883106,-7.4108330983433,-6.861245118700171,-5.1441067180909,-4.4075958974301,-3.9692560619218904,-3.36396701440641,-2.85854283671523,-2.9408344098915498,-3.06677301379582,-3.1640593593180495,-3.57476994300507,-4.95884993700168,-8.0191375025643,-6.8963701426994,-5.01132920507513,-4.06013852287222,-3.41999783637797,-2.85854283671523,-2.9833650758704704,-2.6400214423025097,-2.59356385936962,-3.00968531328803,-3.5104099955435597,-4.4232984386053,-6.8963701426994,-7.31786083161824,-4.8272985485583,-4.43568430748079,-3.41999783637797,-2.8570064993721003,-3.15689681519598,-2.76562082703201,-2.86496977075704,-3.5183266959689,-4.56557070626572,-6.46703362857975,-7.34993645737097,-8.0191375025643,-5.5712732765747095,-4.807183680632701,-4.069651950837,-3.74648499494092,-3.1392117365703798,-2.96943957038819,-3.04602653998104,-3.66963434618348,-4.32283790538378,-8.0191375025643,-8.0191375025643,-6.71638701116684,-7.959364566033161,-5.55804451776163,-7.989800915639019,-3.48399912787612,-2.75664276751865,-3.0408477841935,-3.5338123481702297,-3.9406897930233105,-6.137049352272769,-6.777035295624451,-7.92775049768278,-5.44765387642709,-4.36817694326865,-4.09306280641492
