,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210
04000104377375,-3.1325371024522597,-3.2502193282910095,-3.1808516753504996,-3.3587490649030296,-4.27777251034091,-5.38350421697954,-7.410717591956691,-6.86112659647691,-5.19247362635571,-4.4074736122293,-3.95263487169419,-3.19694679869657,-2.9056434894486296,-2.9647931664675498,-3.16960074839998,-3.042260371229,-3.64687400372459,-5.52542737820212,-6.994316278651639,-6.89625176765407,-5.14398481823612,-4.435562032363441,-3.9691336510988804,-3.4035871702830898,-3.34584414478885,-3.16666712643597,-3.40683384096725,-3.91458083317083,-4.17124003689774,-5.7547221471188,-6.89625176765407,-7.95925427167338,-5.212864078007611,-4.4644622694124,-3.9691336510988804,-3.6205917330809103,-3.5981480762280698,-3.4580868504156204,-3.54040068629943,-3.98530521484481,-4.88263550512516,-6.46691376509976,-7.34982052958145,-7.3807879654964506,-5.22556654617758,-4.47181974466626,-3.98700123257459,-3.81524898478202,-3.41777642899261,-3.3389305866641004,-3.5182042022632496,-4.37366826878574,-5.0355673698906,-6.0377476281908,-7.3807879654964506,-5.81755530170107,-5.115029613759651,-4.869345734246201,-3.64355069512636,-3.1830695511072498,-2.9647931664675498,-3.31943693017122,-3.6911131632735894,-4.39151908317235,-6.46691376509976,-6.776916440908999,-7.927639819155459,-5.38350421697954,-4.51788702097183,-4.34904371150981
04000105132720,-3.08369915246938,-3.15179951227246,-3.16114638997624,-3.18948138215079,-4.22369828885525,-4.76727009499922,-7.04602183054132,-8.1708282068283,-5.23955969395908,-4.662323255079389,-4.543146828276201,-3.4613231859675198,-2.88048190015644,-3.18686146804032,-3.44106944255885,-3.35813358985653,-3.90743907630875,-5.26666834275548,-7.67025855546331,-6.701536361748941,-5.16592559031712,-4.77311088591309,-4.01643641336661,-3.30503329895064,-3.2502275401254397,-2.9853310894499905,-3.12499622360296,-3.49030176983798,-4.01643641336661,-4.8580819811976905,-7.57579855348508,-7.22688549579283,-5.6904843615069405,-5.11968569347854,-4.01643641336661,-3.3204306931279906,-3.284097807805,-3.3109273503224,-3.42627050419563,-4.08941060384767,-4.480170323552059,-5.75873382434117,-8.26246440939118,-7.67025855546331,-5.593020852003809,-4.69855298832254,-3.95132353079683,-3.6823526775222404,-3.17938886689111,-3.0506234254931,-3.10278271694933,-3.7008456014430298,-4.03308453294909,-6.029178870621211,-8.29072100148854,-5.943385623194879,-4.84426173962657,-4.082993173915741,-3.4878685214345597,-3.02712127029392,-2.92770445507038,-3.33715644323626,-3.7346980601501696,-3.9740097372238,-4.62123076652487,-5.9260961857971,-8.20260011963313,-5.75432901737857,-4.60961026451547,-4.480170323552059
04000105988816,-3.0066517038490295,-3.1792447023385,-3.1854314236351096,-3.2718720099983902,-4.10044747643794,-4.6317590803338895,-7.99136673828253,-6.302391254029269,-4.86919818009894,-4.21525792367614,-3.7526773667609703,-3.06028020311921,-2.5758408143172904,-2.6040349582207702,-2.91068981938422,-2.8048847828258103,-3.3714373509405897,-5.46329515620145,-7.321553886151579,-7.22493251946543,-5.0816824696945995,-4.40197929538399,-3.4268790960851403,-2.9039366960926802,-3.38651243172103,-2.8315921125649397,-2.83747710267859,-3.29553550134974,-4.19367742612966,-6.2902057793189,-7.870912831680251,-7.25830043511763,-5.204318019074241,-4.40197929538399,-3.4268790960851403,-3.13049478104443,-3.07296995813617,-3.1781709189249105,-3.30318574245114,-3.94041941090423,-4.33641978485067,-5.628842078428231,-7.93334558272833,-7.96287141326226,-5.00169866541272,-4.96678765668159,-4.26020808459971,-3.7245481426465,-3.6000156026391,-2.76586916156861,-2.89177392305211,-3.594672820472,-3.94041941090423,-7.321553886151579,-7.96287141326226,-6.10752901273575,-5.1064783997647405,-4.23828332930959,-3.40079054466319,-2.9438310861359196,-2.8091325216845,-3.14982202382162,-3.55800296164733,-3.98992436581702,-4.66553609641508,-5.55777611557701,-7.870912831680251,-5.527280787326161,-4.698201399150769,-4.53365766709041
